month	page_namespace	n
200105	12	1
200305	0	7
200306	0	9
200306	3	2
200307	0	1
200310	0	1343
200310	2	2
200310	104	17
200311	0	111
200311	2	1
200311	104	21
200312	0	1592
200312	2	2
200312	8	55
200312	104	6
200401	0	321
200401	2	1
200401	4	1
200401	8	6
200401	104	1
200402	0	956
200402	8	1
200402	104	6
200403	0	1653
200403	2	3
200403	4	2
200404	0	120
200404	3	1
200404	104	1
200405	0	38
200405	4	1
200405	8	102
200406	0	3572
200406	1	3
200406	2	12
200406	3	2
200406	4	24
200406	5	3
200406	8	141
200406	12	2
200406	100	2
200406	102	8
200406	103	1
200406	104	45
200407	0	1055
200407	1	8
200407	2	18
200407	3	6
200407	4	3
200407	5	2
200407	8	60
200407	9	1
200407	12	2
200407	104	7
200408	0	496
200408	3	1
200408	104	7
200409	0	371
200409	2	2
200409	3	1
200409	4	7
200409	14	19
200409	104	4
200410	0	497
200410	3	1
200411	0	90
200411	104	2
200412	0	238
200412	2	4
200412	3	2
200412	4	3
200412	8	72
200412	12	1
200412	14	7
200412	104	2
200501	0	3861
200501	2	1
200501	3	1
200501	4	6
200501	14	216
200501	104	3
200502	0	1643
200502	2	2
200502	4	1
200502	14	33
200502	104	2
200503	0	1510
200503	14	6
200504	0	3983
200504	1	2
200504	2	6
200504	3	1
200504	4	4
200504	14	8
200504	104	21
200505	0	20571
200505	1	1
200505	2	6
200505	4	5
200505	14	69
200505	104	118
200506	0	12740
200506	1	5
200506	2	22
200506	3	8
200506	4	16
200506	5	2
200506	8	47
200506	12	3
200506	14	66
200506	100	1
200506	104	121
200507	0	18571
200507	1	112
200507	2	81
200507	3	82
200507	4	83
200507	5	17
200507	8	47
200507	9	1
200507	11	2
200507	12	6
200507	13	1
200507	14	664
200507	15	1
200507	102	3
200507	103	1
200507	104	839
200507	105	1
200508	0	44927
200508	1	4
200508	2	294
200508	3	8
200508	4	12
200508	8	13
200508	10	288
200508	12	2
200508	14	1172
200508	100	9
200508	102	1
200508	104	758
200509	0	24901
200509	1	4
200509	2	29
200509	3	6
200509	4	26
200509	8	7
200509	10	2
200509	12	1
200509	14	702
200509	100	5
200509	102	1
200509	104	315
200510	0	21787
200510	1	42
200510	2	118
200510	3	85
200510	4	171
200510	5	1
200510	10	491
200510	12	4
200510	14	1077
200510	15	1
200510	100	97
200510	102	72
200510	103	1
200510	104	2856
200511	0	18054
200511	1	33
200511	2	130
200511	3	1563
200511	4	76
200511	5	3
200511	8	5
200511	10	18
200511	11	1
200511	13	1
200511	14	2422
200511	15	1
200511	100	15
200511	101	1
200511	102	17
200511	103	3
200511	104	1055
200512	0	26272
200512	1	4
200512	2	206
200512	3	19
200512	4	102
200512	8	12
200512	10	275
200512	11	1
200512	14	1482
200512	100	46
200512	102	11
200512	104	740
200601	0	28904
200601	1	14
200601	2	62
200601	3	30
200601	4	30
200601	5	2
