month	page_namespace	reverts	bot_reverts	bot_reverteds	bot2bot_reverts
20021001	0	8	0	0	0
20021001	4	1	0	0	0
20021101	0	7	0	0	0
20021101	4	4	0	0	0
20021101	102	1	0	0	0
20021201	0	70	0	0	0
20021201	2	10	0	0	0
20021201	3	1	0	0	0
20021201	4	7	0	0	0
20021201	12	1	0	0	0
20030101	0	30	0	0	0
20030101	1	2	0	0	0
20030101	2	16	0	0	0
20030101	3	9	0	0	0
20030101	4	10	0	0	0
20030101	5	1	0	0	0
20030201	0	32	0	0	0
20030201	2	3	0	0	0
20030201	3	2	0	0	0
20030201	4	13	0	0	0
20030201	12	1	0	0	0
20030201	102	2	0	0	0
20030301	0	21	0	0	0
20030301	3	2	0	0	0
20030301	4	5	0	0	0
20030401	0	31	0	0	0
20030401	2	1	0	0	0
20030401	3	1	0	0	0
20030401	4	7	0	0	0
20030401	5	1	0	0	0
20030401	102	1	0	0	0
20030501	0	101	5	1	0
20030501	1	2	0	0	0
20030501	2	2	0	0	0
20030501	3	1	0	0	0
20030501	4	14	0	1	0
20030501	5	1	0	0	0
20030501	102	2	0	1	0
20030601	0	75	1	0	0
20030601	1	1	0	0	0
20030601	2	5	0	0	0
20030601	4	11	0	0	0
20030601	5	1	0	0	0
20030601	12	1	0	0	0
20030701	0	62	0	1	0
20030701	2	1	0	0	0
20030701	4	10	0	0	0
20030801	0	103	2	0	0
20030801	1	7	0	0	0
20030801	2	8	1	0	0
20030801	3	1	0	0	0
20030801	4	10	0	0	0
20030801	12	2	0	0	0
20030901	0	78	5	0	0
20030901	1	6	0	0	0
20030901	2	3	0	0	0
20030901	3	1	0	0	0
20030901	4	12	0	0	0
20030901	5	1	0	0	0
20030901	12	1	0	0	0
20031001	0	142	4	3	0
20031001	1	5	0	0	0
20031001	2	7	0	0	0
20031001	3	7	2	0	0
20031001	4	26	0	0	0
20031001	12	2	0	0	0
20031101	0	320	18	6	0
20031101	1	42	0	0	0
20031101	2	42	2	1	0
20031101	3	39	12	1	0
20031101	4	120	4	1	0
20031101	5	4	0	2	0
20031101	12	4	0	0	0
20031101	102	8	0	0	0
20031201	0	637	122	1	0
20031201	1	11	0	0	0
20031201	2	3	0	0	0
20031201	3	3	1	0	0
20031201	4	198	4	0	0
20031201	12	31	0	0	0
20031201	13	2	0	0	0
20040101	0	411	116	1	0
20040101	1	7	1	0	0
20040101	2	1	0	0	0
20040101	3	6	0	0	0
20040101	4	91	1	1	0
20040101	12	6	0	0	0
20040101	102	2	0	0	0
20040201	0	247	12	2	0
20040201	1	8	0	0	0
20040201	2	4	0	0	0
20040201	3	11	3	0	0
20040201	4	60	3	0	0
20040201	5	4	0	0	0
20040201	10	2	0	0	0
20040201	12	7	1	0	0
20040301	0	341	17	1	0
20040301	1	9	0	0	0
20040301	2	9	0	0	0
20040301	3	12	2	0	0
20040301	4	70	2	0	0
20040301	5	2	1	0	0
20040301	8	1	0	0	0
20040301	12	12	0	0	0
20040401	0	467	3	1	0
20040401	1	7	0	0	0
20040401	2	11	0	0	0
20040401	3	11	4	0	0
20040401	4	82	4	0	0
20040401	5	5	0	0	0
20040401	8	1	0	0	0
20040401	10	11	0	0	0
20040401	12	4	0	0	0
20040501	0	321	0	1	0
20040501	1	1	0	0	0
20040501	2	17	1	0	0
20040501	3	22	0	0	0
20040501	4	51	0	0	0
20040501	5	1	0	0	0
20040501	8	9	9	0	0
20040501	10	11	0	0	0
20040501	12	5	0	0	0
20040501	102	3	0	0	0
20040601	0	608	30	4	0
20040601	1	4	0	0	0
20040601	2	9	0	0	0
20040601	3	24	4	0	0
20040601	4	108	1	1	0
20040601	5	5	0	0	0
20040601	8	1	0	0	0
20040601	10	12	0	0	0
20040601	12	5	0	0	0
20040601	14	16	0	0	0
20040601	102	4	0	0	0
20040701	0	443	18	6	1
20040701	1	23	0	1	0
20040701	2	13	0	0	0
20040701	3	67	4	0	0
20040701	4	46	0	0	0
20040701	5	2	0	0	0
20040701	10	13	1	0	0
20040701	11	1	0	1	0
20040701	12	4	0	0	0
20040701	13	1	0	1	0
20040701	14	14	0	0	0
20040701	102	6	0	0	0
20040801	0	523	9	7	1
20040801	1	21	0	0	0
20040801	2	23	1	0	0
20040801	3	25	8	0	0
20040801	4	70	0	1	0
20040801	5	4	0	0	0
20040801	10	6	0	0	0
20040801	12	1	0	0	0
20040801	14	5	0	1	0
20040801	102	3	0	0	0
20040801	103	1	0	0	0
20040901	0	1086	6	8	0
20040901	1	42	1	0	0
20040901	2	14	0	0	0
20040901	3	16	0	1	0
20040901	4	82	0	0	0
20040901	5	1	0	0	0
20040901	10	7	0	0	0
20040901	12	4	0	0	0
20040901	13	1	0	0	0
20040901	14	7	0	0	0
20040901	100	1	0	0	0
20040901	102	4	0	0	0
20041001	0	1130	19	0	0
20041001	1	39	0	0	0
20041001	2	8	0	0	0
20041001	3	17	0	0	0
20041001	4	40	1	0	0
20041001	5	3	0	0	0
20041001	6	1	0	0	0
20041001	10	8	0	0	0
20041001	12	12	0	0	0
20041001	14	6	0	0	0
20041001	100	2	0	0	0
20041001	101	1	0	0	0
20041001	102	5	0	0	0
20041101	0	1829	8	8	0
20041101	1	48	0	0	0
20041101	2	19	0	0	0
20041101	3	39	9	0	0
20041101	4	84	1	1	0
20041101	5	7	0	0	0
20041101	10	12	0	0	0
20041101	11	1	0	0	0
20041101	12	6	0	0	0
20041101	13	2	0	0	0
20041101	14	14	1	0	0
20041101	100	3	0	0	0
20041101	102	6	0	0	0
20041101	103	9	0	0	0
20041201	0	1346	14	2	0
20041201	1	56	0	0	0
20041201	2	14	0	0	0
20041201	3	30	3	0	0
20041201	4	65	1	0	0
20041201	5	5	0	0	0
20041201	10	3	0	0	0
20041201	12	8	0	0	0
20041201	14	15	0	0	0
20041201	100	2	0	0	0
20041201	102	2	0	0	0
20050101	0	1912	23	5	0
20050101	1	41	1	0	0
20050101	2	75	2	0	0
20050101	3	85	4	1	0
20050101	4	138	1	1	0
20050101	5	8	0	0	0
20050101	10	10	0	0	0
20050101	12	73	0	0	0
20050101	13	2	0	0	0
20050101	14	18	1	0	0
20050101	100	3	0	0	0
20050101	101	1	0	0	0
20050101	102	15	1	0	0
20050101	103	7	0	0	0
20050201	0	1702	14	1	0
20050201	1	29	0	0	0
20050201	2	28	0	0	0
20050201	3	97	6	0	0
20050201	4	68	1	1	0
20050201	5	4	0	0	0
20050201	10	9	0	0	0
20050201	12	23	0	0	0
20050201	14	12	0	0	0
20050201	100	1	0	0	0
20050201	102	8	1	0	0
20050201	103	3	0	0	0
20050301	0	2533	39	52	0
20050301	1	44	1	0	0
20050301	2	48	10	0	0
20050301	3	126	21	0	0
20050301	4	173	7	4	0
20050301	5	13	0	0	0
20050301	10	39	0	0	0
20050301	12	44	0	0	0
20050301	13	1	0	0	0
20050301	14	21	0	0	0
20050301	15	2	0	1	0
20050301	100	3	0	0	0
20050301	102	8	0	0	0
20050301	103	1	0	0	0
20050401	0	3300	17	29	0
20050401	1	64	0	0	0
20050401	2	41	0	0	0
20050401	3	57	0	0	0
20050401	4	87	0	0	0
20050401	5	14	0	0	0
20050401	8	1	0	0	0
20050401	10	39	0	0	0
20050401	12	65	0	0	0
20050401	13	1	0	0	0
20050401	14	22	1	0	0
20050401	15	1	0	0	0
20050401	100	5	0	0	0
20050401	102	1	0	0	0
20050401	103	4	0	0	0
20050501	0	3495	45	5	2
20050501	1	70	0	0	0
20050501	2	51	0	0	0
20050501	3	75	0	0	0
20050501	4	99	0	0	0
20050501	5	9	0	0	0
20050501	10	35	0	0	0
20050501	12	40	0	0	0
20050501	13	2	0	0	0
20050501	14	26	0	0	0
20050501	100	9	0	0	0
20050501	102	5	0	0	0
20050501	103	1	0	0	0
20050601	0	2827	69	54	1
20050601	1	71	0	0	0
20050601	2	109	2	28	0
20050601	3	80	1	0	0
20050601	4	93	0	0	0
20050601	5	18	0	0	0
20050601	8	1	0	0	0
20050601	10	55	0	0	0
20050601	11	1	0	0	0
20050601	12	31	1	0	0
20050601	13	1	0	0	0
20050601	14	37	0	1	0
20050601	100	11	0	0	0
20050601	102	2	0	0	0
20050701	0	2688	123	42	19
20050701	1	44	0	0	0
20050701	2	41	0	0	0
20050701	3	68	2	1	0
20050701	4	127	1	0	0
20050701	5	13	0	0	0
20050701	8	2	1	0	0
20050701	10	98	0	0	0
20050701	11	1	0	0	0
20050701	12	37	0	0	0
20050701	13	2	0	0	0
20050701	14	23	9	0	0
20050701	100	12	1	0	0
20050701	102	5	1	0	0
20050801	0	2976	187	181	149
20050801	1	56	0	1	0
20050801	2	49	0	0	0
20050801	3	112	4	0	0
20050801	4	150	0	2	0
20050801	5	16	0	0	0
20050801	8	1	0	1	0
20050801	10	74	1	1	0
20050801	12	36	0	0	0
20050801	13	4	0	0	0
20050801	14	38	16	15	15
20050801	100	17	0	0	0
20050801	101	1	0	0	0
20050801	102	4	0	1	0
20050901	0	3781	53	23	8
20050901	1	90	0	0	0
20050901	2	50	0	1	0
20050901	3	94	8	0	0
20050901	4	173	1	0	0
20050901	5	17	0	0	0
20050901	7	1	0	0	0
20050901	8	2	0	0	0
20050901	10	141	0	0	0
20050901	11	4	0	0	0
20050901	12	29	0	0	0
20050901	13	1	0	0	0
20050901	14	69	0	46	0
20050901	100	26	1	0	0
20050901	101	2	0	0	0
20050901	102	3	0	0	0
20051001	0	7549	52	95	12
20051001	1	200	0	0	0
20051001	2	98	2	5	0
20051001	3	185	11	4	0
20051001	4	224	0	2	0
20051001	5	23	0	0	0
20051001	10	58	0	0	0
20051001	11	2	0	0	0
20051001	12	29	0	0	0
20051001	13	4	0	0	0
20051001	14	70	3	7	1
20051001	100	32	0	0	0
20051001	101	7	0	0	0
20051001	102	9	0	2	0
20051001	103	2	0	0	0
20051101	0	8319	149	57	14
20051101	1	175	2	0	0
20051101	2	81	0	0	0
20051101	3	162	1	2	0
20051101	4	231	0	0	0
20051101	5	21	0	0	0
20051101	8	2	0	1	0
20051101	10	44	0	0	0
20051101	11	2	0	1	0
20051101	12	66	0	0	0
20051101	13	6	0	0	0
20051101	14	68	1	0	0
20051101	15	3	0	0	0
20051101	100	46	0	0	0
20051101	101	6	0	1	0
20051101	102	14	0	0	0
20051101	103	3	0	0	0
20051201	0	8739	58	72	22
20051201	1	155	0	0	0
20051201	2	104	0	1	0
20051201	3	143	2	0	0
20051201	4	223	0	2	0
20051201	5	39	0	0	0
20051201	6	1	0	0	0
20051201	10	68	0	1	0
20051201	12	63	0	0	0
20051201	13	4	0	0	0
20051201	14	70	2	0	0
20051201	15	2	0	0	0
20051201	100	53	0	0	0
20051201	101	42	0	0	0
20051201	102	7	0	0	0
20051201	103	14	0	0	0
20060101	0	12015	614	110	16
20060101	1	325	4	27	0
20060101	2	156	17	7	0
20060101	3	200	12	2	0
20060101	4	345	6	5	0
20060101	5	52	2	1	1
20060101	6	2	0	0	0
20060101	8	1	0	0	0
20060101	10	98	0	1	0
20060101	12	74	2	1	0
20060101	13	7	0	0	0
20060101	14	104	8	3	2
20060101	15	3	0	0	0
20060101	100	93	15	1	0
20060101	101	5	0	0	0
20060101	102	42	1	12	0
20060101	103	4	0	0	0
20060201	0	9609	418	69	21
20060201	1	382	7	42	0
20060201	2	123	4	8	0
20060201	3	176	7	3	0
20060201	4	353	1	0	0
20060201	5	27	0	0	0
20060201	6	1	0	0	0
20060201	8	2	0	1	0
20060201	9	1	0	0	0
20060201	10	85	0	0	0
20060201	11	8	0	0	0
20060201	12	46	0	0	0
20060201	13	15	0	0	0
20060201	14	81	18	16	16
20060201	15	3	0	0	0
