month	page_namespace	n
200210	0	87
200210	1	9
200210	2	1
200210	3	4
200210	4	4
200210	103	2
200305	0	238
200305	1	19
200305	2	6
200305	3	3
200305	4	22
200305	5	2
200305	102	6
200305	103	3
200306	0	85
200306	3	2
200306	4	5
200307	0	138
200307	1	1
200307	2	2
200307	3	1
200307	4	6
200308	0	152
200308	1	6
200308	2	10
200308	3	13
200308	4	33
200308	12	7
200308	13	1
200309	0	154
200309	1	6
200309	2	16
200309	3	13
200309	4	103
200309	5	2
200309	12	6
200309	102	13
200310	0	178
200310	1	22
200310	2	10
200310	3	24
200310	4	85
200310	12	1
200310	13	1
200310	102	8
200311	0	681
200311	1	36
200311	2	42
200311	3	79
200311	4	196
200311	5	12
200311	12	7
200311	13	2
200311	102	24
200311	103	2
200312	0	764
200312	1	22
200312	2	34
200312	3	41
200312	4	209
200312	5	2
200312	8	18
200312	10	2
200312	12	37
200312	13	1
200312	102	3
200401	0	432
200401	1	8
200401	2	16
200401	3	23
200401	4	59
200401	5	13
200401	8	1
200401	10	3
200401	102	4
200402	0	488
200402	1	3
200402	2	30
200402	3	45
200402	4	105
200402	5	10
200402	10	13
200402	12	12
200403	0	2213
200403	1	5
200403	2	7
200403	3	23
200403	4	76
200403	5	13
200403	10	3
200403	13	1
200403	102	1
200404	0	141
200404	1	4
200404	2	11
200404	3	47
200404	4	73
200404	5	32
200404	10	1
200405	0	73
200405	1	1
200405	2	7
200405	3	8
200405	4	8
200405	8	74
200405	10	11
200405	14	1
200406	0	1256
200406	1	60
200406	2	65
200406	3	144
200406	4	150
200406	5	67
200406	8	50
200406	9	2
200406	10	2
200406	11	3
200406	12	15
200406	13	17
200406	14	62
200406	102	28
200406	103	7
200407	0	6500
200407	1	27
200407	2	35
200407	3	68
200407	4	88
200407	5	11
200407	8	6
200407	10	5
200407	11	3
200407	12	4
200407	13	3
200407	14	49
200407	15	1
200407	100	2
200407	102	26
200407	103	3
200408	0	9178
200408	1	17
200408	2	20
200408	3	51
200408	4	119
200408	5	5
200408	10	4
200408	12	2
200408	14	55
200408	102	12
200409	0	1150
200409	1	1
200409	3	4
200409	4	43
200409	10	1
200409	102	14
200410	0	397
200410	1	4
200410	2	12
200410	3	15
200410	4	87
200410	5	2
200410	6	2
200410	14	3
200410	100	25
200410	102	1
200411	0	4019
200411	1	5
200411	2	5
200411	3	28
200411	4	83
200411	10	1
200411	11	1
200411	14	2
200412	0	568
200412	1	6
200412	2	4
200412	3	20
200412	4	126
200412	5	2
200412	8	15
200412	9	1
200412	12	1
200412	13	1
200412	14	17
200412	102	2
200501	0	3020
200501	1	25
200501	2	8
200501	3	28
200501	4	151
200501	5	3
200501	6	1
200501	10	1
200501	12	1
200501	14	209
200501	102	2
200501	103	1
200502	0	730
200502	1	11
200502	2	3
200502	3	18
200502	4	61
200502	5	1
200502	14	42
200502	102	2
200503	0	19071
200503	1	34
200503	2	27
200503	3	49
200503	4	169
200503	5	3
200503	10	2
200503	12	1
200503	14	105
200503	15	3
200503	100	1
200504	0	13573
200504	1	8
200504	2	1
200504	3	3
200504	4	10
200504	10	1
200504	14	104
