month	page_namespace	n
200212	0	32284
200212	1	4
200212	2	2
200212	3	1
200303	0	5
200304	0	8
200305	0	116
200305	2	2
200306	0	6086
200306	1	2
200306	2	3
200306	3	2
200306	4	4
200307	0	10303
200307	1	3801
200307	3	9
200308	0	69
200309	0	47
200309	2	3
200310	0	1923
200310	1	35
200310	2	35
200310	3	6
200310	4	13
200310	5	2
200310	100	12
200311	0	316
200311	1	2
200311	2	9
200311	3	4
200311	4	4
200311	13	1
200311	100	2
200312	0	7284
200312	1	16
200312	2	14
200312	3	7
200312	4	4
200312	5	5
200312	8	44
200312	100	15
200401	0	496
200401	1	1
200401	4	2
200401	100	6
200402	0	2362
200402	1	16
200402	2	10
200402	3	6
200402	4	12
200402	5	1
200402	8	1
200402	100	7
200403	0	3308
200403	1	127
200403	2	105
200403	3	20
200403	4	58
200403	5	11
200403	6	1
200403	12	1
200403	13	1
200403	100	8
200404	0	766
200404	1	1
200404	4	5
200404	5	1
200405	0	1454
200405	2	3
200405	3	1
200405	4	6
200405	8	139
200406	0	38237
200406	1	3654
200406	2	207
200406	3	4175
200406	4	319
200406	5	143
200406	6	239
200406	7	1
200406	8	225
200406	9	3
200406	10	34
200406	11	36
200406	12	2
200406	14	6
200406	15	1
200406	100	1
200407	0	54523
200407	1	438
200407	2	159
200407	3	159
200407	4	99
200407	5	61
200407	6	1
200407	10	2
200407	11	1
200407	14	32
200407	15	1
200407	100	49
200408	0	38098
200408	1	102
200408	2	27
200408	3	5
200408	4	11
200408	6	2
200408	14	1826
200408	100	6
200409	0	28547
200409	1	682
200409	2	60
200409	3	18
200409	4	48
200409	5	14
200409	10	2
200409	12	5
200409	13	2
200409	14	1211
200409	100	2
200410	0	44076
200410	1	17
200410	2	6
200410	3	9
200410	4	26
200410	6	2
200410	10	1
200410	14	168
200410	100	21
200410	118	1
200411	0	104882
200411	1	14
200411	2	23
200411	3	13
200411	4	13
200411	5	1
200411	6	3
200411	14	2289
200411	100	28
200412	0	51935
200412	1	30
200412	2	584
200412	3	1615
200412	4	69
200412	5	6
200412	6	3
200412	8	83
200412	9	2
200412	10	20
200412	11	5
200412	12	1
200412	14	264
200412	100	16
200501	0	6062
200501	1	36
200501	2	11
200501	3	5
200501	4	9
200501	5	15
200501	10	32
200501	14	376
200501	15	1
200501	100	6
200502	0	4170
200502	1	4
200502	2	91
200502	3	5
200502	4	35
200502	5	6
200502	10	21
200502	11	1
200502	14	64
200502	100	1
200503	0	21363
200503	1	171
200503	2	547
200503	3	27
200503	4	353
200503	5	46
200503	6	3
200503	10	71
200503	12	1
200503	14	441
200503	100	19
200504	0	34186
200504	1	1092
200504	2	558
200504	3	16
200504	4	624
200504	5	22
200504	6	18
200504	10	19
200504	11	6
200504	12	1
200504	14	352
200504	100	14
200505	0	33947
200505	1	80
200505	2	663
200505	3	20
200505	4	1886
200505	5	56
200505	6	207
200505	9	1
200505	10	23
200505	11	3
200505	14	1273
200505	15	1
200505	100	67
200506	0	29898
200506	1	160
200506	2	963
200506	3	321
200506	4	1249
200506	5	54
200506	6	44
200506	8	112
200506	10	272
200506	11	5
200506	14	1099
200506	100	17
200506	118	1
200507	0	39026
200507	1	35
200507	2	262
200507	3	10
200507	4	766
200507	5	3
200507	6	5
200507	7	1
200507	8	4
200507	10	23
200507	14	810
200507	100	23
200507	118	2
200508	0	38272
200508	1	48
200508	2	570
200508	3	61
200508	4	1686
200508	5	38
200508	6	1
200508	8	1
200508	9	1
200508	10	102
200508	11	16
200508	12	2
200508	14	2016
200508	100	14
200509	0	73199
200509	1	39
200509	2	760
200509	3	105
200509	4	39915
200509	5	672
200509	6	47
200509	8	10
200509	9	2
200509	10	333
200509	11	28
200509	12	5
200509	14	1128
200509	15	1
200509	100	46
200509	101	1
200509	118	1
200510	0	62111
200510	1	134
200510	2	1509
200510	3	41
200510	4	6776
200510	5	118
200510	6	7
200510	8	2
200510	10	215
200510	11	8
200510	12	2
200510	14	8897
200510	100	75
200511	0	114168
200511	1	397
200511	2	1590
200511	3	4906
200511	4	4692
200511	5	159
200511	6	83
200511	7	1
200511	8	1
200511	10	241
200511	11	12
200511	12	179
200511	13	173
200511	14	4076
200511	15	2
200511	100	54
200511	101	10
200511	118	1
200512	0	74799
200512	1	209
200512	2	3254
200512	3	483
200512	4	4581
200512	5	148
200512	6	120
200512	8	10
200512	9	7
200512	10	876
200512	11	18
200512	12	88
200512	13	92
200512	14	6014
200512	15	4
200512	100	71
200601	0	112155
200601	1	142
200601	2	5338
200601	3	5433
200601	4	4864
200601	5	107
200601	6	104
200601	10	473
200601	11	6
200601	12	84
200601	13	67
200601	14	3481
200601	15	1
200601	100	91
200601	118	1
200602	0	117857
200602	1	3443
200602	2	5878
200602	3	47029
200602	4	4877
200602	5	142
200602	6	149
200602	7	4
200602	8	1
200602	9	4
200602	10	208
200602	11	15
200602	12	4
200602	14	4436
200602	15	4
200602	100	41
200602	101	8
200602	118	2
200603	0	256826
200603	1	560
200603	2	6618
200603	3	51024
200603	4	4936
200603	5	166
200603	6	387
200603	7	15
200603	8	1
200603	9	15
200603	10	492
200603	11	22
200603	12	14
200603	13	1
200603	14	2649
200603	15	53
200603	100	136
200603	101	13
200603	118	3
200604	0	143107
200604	1	764
200604	2	5029
200604	3	21162
200604	4	3992
200604	5	85
200604	6	594
200604	10	234
200604	11	3
200604	12	16
200604	14	4810
200604	15	4
200604	100	193
200604	101	1
200605	0	126734
200605	1	3465
200605	2	5615
200605	3	16326
