month	page_namespace	n
200302	0	407
200302	1	5
200302	2	29
200302	3	3
200302	4	15
200302	5	1
200303	0	276
200303	1	17
200303	2	16
200303	3	4
200303	4	50
200303	5	6
200303	12	7
200304	0	120
200304	1	11
200304	2	8
200304	3	2
200304	4	5
200304	5	5
200305	0	484
200305	1	17
200305	2	4
200305	3	3
200305	4	8
200305	5	1
200305	102	1
200306	0	254
200306	1	11
200306	2	36
200306	4	31
200306	12	1
200307	0	31
200307	1	3
200307	2	14
200307	3	1
200308	0	99
200308	1	2
200308	2	4
200308	3	1
200309	0	15
200309	1	4
200309	4	2
200309	5	1
200310	0	10
200310	1	1
200311	0	603
200311	1	22
200311	2	26
200311	3	7
200311	4	18
200311	5	3
200311	6	2
200311	12	4
200311	103	1
200312	0	1135
200312	1	38
200312	2	88
200312	3	12
200312	4	77
200312	5	6
200312	8	25
200312	9	2
200312	12	2
200312	102	2
200401	0	1849
200401	1	309
200401	2	62
200401	3	14
200401	4	69
200401	5	6
200401	6	1
200401	8	15
200401	9	1
200401	10	5
200401	102	1
200401	103	1
200402	0	1471
200402	1	155
200402	2	63
200402	3	17
200402	4	196
200402	5	7
200402	6	2
200402	8	6
200402	9	2
200402	10	7
200402	103	1
200403	0	594
200403	1	176
200403	2	20
200403	3	26
200403	4	289
200403	5	5
200403	8	10
200403	10	11
200403	12	4
200403	13	1
200403	102	1
200404	0	336
200404	1	124
200404	2	16
200404	3	126
200404	4	325
200404	5	5
200404	6	2
200404	8	2
200404	10	5
200405	0	90
200405	1	19
200405	2	18
200405	3	427
200405	4	90
200405	5	4
200405	7	1
200405	8	17
200405	10	5
200405	101	1
200406	0	10454
200406	1	44
200406	2	56
200406	3	371
200406	4	111
200406	5	14
200406	6	28
200406	8	43
200406	10	37
200406	11	2
200406	100	4
200406	102	6
200406	103	1
200407	0	5041
200407	1	13
200407	2	19
200407	3	434
200407	4	58
200407	5	2
200407	7	2
200407	8	2
200407	10	66
200407	100	1
200407	102	5
200408	0	16554
200408	1	39
200408	2	22
200408	3	525
200408	4	119
200408	5	12
200408	7	1
200408	8	1
200408	10	97
200408	11	3
200408	14	4
200408	100	1
200408	102	12
200409	0	5252
200409	1	86
200409	2	57
200409	3	729
200409	4	310
200409	5	62
200409	6	22
200409	8	36
200409	9	2
200409	10	131
200409	11	2
200409	12	1
200409	102	14
200409	103	1
200410	0	122
200410	1	26
200410	2	14
200410	3	477
200410	4	126
200410	5	12
200410	6	25
200410	8	1
200410	9	1
200410	10	97
200410	11	1
200410	102	4
200410	103	1
200411	0	10340
200411	1	9
200411	2	7
200411	3	488
200411	4	93
200411	5	7
200411	8	5
200411	10	102
200411	12	7
200411	14	2
200411	100	27
200411	102	3
200412	0	2593
200412	1	33
200412	2	5
200412	3	424
200412	4	141
200412	5	4
200412	8	11
200412	10	122
200412	100	27
200412	102	2
200412	103	2
200501	0	651
200501	1	5
200501	2	3
200501	3	434
200501	4	53
200501	5	3
200501	8	2
200501	10	92
200501	14	3
200501	15	1
200501	100	31
200501	102	1
200502	0	416
200502	1	1
200502	2	2
200502	3	286
200502	4	149
200502	7	1
200502	10	77
200502	14	1
200502	100	28
200503	0	176
200503	1	6
200503	2	12
200503	3	446
200503	4	56
200503	10	95
200503	14	616
200503	100	28
200504	0	824
200504	1	3
200504	2	34
200504	3	453
200504	4	52
200504	5	3
200504	8	1
200504	10	91
200504	14	5
200504	100	30
200504	102	1
200505	0	3842
200505	1	9
200505	2	22
200505	3	473
200505	4	223
200505	5	11
200505	6	2
200505	8	1
200505	10	105
200505	12	1
200505	14	4
200505	15	3
200505	100	32
200505	102	4
200505	103	2
200506	0	1090
200506	1	5
200506	2	13
200506	3	312
200506	4	51
200506	5	4
200506	8	9
200506	10	88
200506	14	551
200506	100	28
200507	0	11307
200507	1	38
200507	2	17
200507	3	202
200507	4	222
200507	6	1
200507	7	3
200507	8	10
200507	10	94
200507	14	264
200507	100	40
200507	102	1
200508	0	10314
200508	1	7
200508	2	10
200508	3	282
200508	4	167
200508	5	6
200508	8	3
200508	10	133
200508	14	636
200508	15	7
200508	100	61
200508	102	4
200509	0	18444
200509	1	17
200509	2	13
200509	3	206
200509	4	144
200509	5	20
200509	8	2
200509	10	167
200509	14	111
200509	15	1
200509	100	53
200510	0	7771
200510	1	141
200510	2	15
200510	3	58
200510	4	212
200510	5	2
200510	10	280
200510	11	21
200510	12	1
200510	14	394
200510	15	4
200510	100	62
200510	102	1
200511	0	12172
200511	1	38
200511	2	19
200511	3	19
200511	4	196
200511	5	3
200511	9	1
200511	10	202
200511	12	1
200511	14	422
200511	100	62
200511	103	1
200512	0	12667
200512	1	19
200512	2	34
200512	3	38
200512	4	178
200512	5	4
200512	8	2
200512	10	207
200512	11	3
200512	13	1
200512	14	848
200512	100	69
200512	102	10
200601	0	10906
200601	1	8
200601	2	20
