month	page_namespace	n
200312	8	9
200401	0	30
200401	2	1
200402	0	527
200402	2	1
200402	4	6
200403	0	181
200404	0	25
200405	0	140
200405	8	111
200406	0	24
200406	2	1
200406	3	1
200406	4	1
200406	8	92
200407	0	108
200408	0	25
200408	2	1
200408	3	1
200409	0	10381
200409	1	2
200409	2	11
200409	3	11
200409	4	32
200409	10	12
200409	12	2
200409	14	6
200410	0	1364
200410	1	3
200410	2	38
200410	3	20
200410	4	17
200410	14	5
200410	100	2
200411	0	3941
200411	1	1
200411	2	268
200411	3	9
200411	4	102
200411	5	2
200411	8	1
200411	10	1
200411	11	1
200411	12	14
200411	14	18
200411	100	1
200412	0	4219
200412	2	45
200412	3	7
200412	4	7
200412	8	81
200412	10	1
200412	12	3
200412	14	278
200501	0	435
200501	2	191
200501	3	6
200501	4	25
200501	10	2
200501	11	1
200501	12	2
200501	14	410
200501	100	1
200502	0	5449
200502	1	30
200502	2	1
200502	3	2
200502	4	2
200502	12	8
200502	14	57
200503	0	3991
200503	1	26
200503	2	1
200503	3	26
200503	4	60
200503	5	7
200503	11	5
200503	12	32
200503	13	1
200503	14	88
200503	15	1
200504	0	5670
200504	2	7
200504	3	2
200504	4	10
200504	5	1
200504	10	1
200504	12	1
200504	14	118
200505	0	19401
200505	2	6
200505	3	2
200505	4	9
200505	12	5
200505	14	944
200506	0	38037
200506	1	10
200506	2	149
200506	3	15
200506	4	41
200506	5	3
200506	8	29
200506	10	1
200506	12	1
200506	13	1
200506	14	483
200507	0	15800
200507	1	1
200507	2	18
200507	3	13
200507	4	30
200507	8	56
200507	10	37
200507	14	712
200508	0	17476
200508	2	11
200508	3	119
200508	4	15
200508	8	3
200508	10	1
200508	12	1
200508	14	1180
200508	100	1
200509	0	12690
200509	2	6
200509	3	3
200509	4	9
200509	8	21
200509	14	230
200510	0	17496
200510	2	448
200510	3	5
200510	4	58
200510	10	1
200510	12	2
200510	14	898
200510	100	1
200511	0	19941
200511	2	7
200511	3	10
200511	4	46
200511	8	4
200511	10	2
200511	12	1
200511	14	734
200511	100	16
200512	0	26294
200512	1	1
200512	2	71
200512	3	40
200512	4	51
200512	8	7
200512	14	1221
200512	100	5
200601	0	69098
200601	1	6
200601	2	30
200601	3	14
200601	4	103
200601	5	1
200601	8	1
200601	10	5
200601	12	16
200601	14	1180
200601	15	1
200601	100	23
200602	0	27661
200602	1	1
200602	2	2
200602	4	42
200602	8	1
200602	14	717
200602	100	4
200603	0	34703
200603	1	95
200603	2	45
200603	3	628
200603	4	147
200603	5	6
200603	8	2
200603	9	2
200603	10	10
200603	11	4
200603	12	1
200603	14	1318
200603	15	2
200603	101	8
200604	0	61286
200604	1	357
200604	2	8
200604	4	817
200604	10	2
200604	14	1038
200605	0	26279
200605	1	6
200605	2	54
200605	3	19
200605	4	140
200605	5	4
200605	10	3
200605	14	106
200605	100	11
200606	0	53975
200606	1	14
200606	2	76
200606	3	2288
200606	4	329
200606	5	11
200606	10	9
200606	11	3
200606	12	1
200606	14	1620
200606	15	2
200606	100	1
200607	0	53285
200607	2	74
200607	3	17652
200607	4	318
200607	8	3
200607	10	3
200607	12	1
200607	14	1507
200607	100	15
200608	0	42827
200608	2	103
200608	3	50580
200608	4	1817
200608	5	1
200608	8	3
200608	10	92
200608	12	2
200608	14	3227
200608	100	4
200609	0	29880
200609	1	1
200609	2	70
200609	3	17910
200609	4	184
200609	5	1
200609	10	16
200609	14	1504
200609	100	10
200610	0	55804
200610	2	31
200610	3	755
200610	4	204
200610	5	5
200610	8	3
200610	10	22
200610	12	7
200610	14	4294
200610	100	8
200611	0	49735
200611	2	91
200611	3	12
200611	4	216
200611	5	8
200611	10	13
200611	12	3
200611	14	1638
200612	0	160860
200612	1	71
200612	2	358
200612	3	7374
200612	4	442
200612	5	35
200612	10	4
200612	11	3
200612	12	16
200612	14	4103
200612	15	3
200612	100	19
200612	101	4
200701	0	85247
200701	1	7
200701	2	50
200701	3	33596
200701	4	202
200701	5	5
200701	10	6
200701	11	1
200701	12	1
200701	14	1667
200701	100	1
200701	101	1
200702	0	59164
200702	1	3
200702	2	34
200702	3	10752
200702	4	243
200702	5	3
200702	10	12
200702	12	6
200702	14	3777
200702	100	5
200703	0	82783
200703	1	14288
200703	2	83
200703	3	32341
200703	4	560
200703	5	34
200703	9	2
200703	10	20
200703	11	14
200703	14	5214
200703	15	1
200703	100	21
200703	101	7
200704	0	54781
200704	1	15668
200704	2	1084
200704	3	31504
200704	4	502
200704	5	37
200704	9	2
200704	10	14
200704	11	16
200704	12	1
200704	13	1
200704	14	4477
200704	100	8
200704	101	4
200705	0	96470
200705	1	10561
200705	2	168
200705	3	1440
200705	4	283
200705	5	7
200705	10	27
200705	11	5
200705	12	4
200705	14	2784
200705	15	3
200705	100	20
200706	0	54280
200706	1	4
200706	2	494
200706	3	2164
200706	4	216
200706	5	3
200706	10	31
200706	12	2
200706	14	6140
200706	100	5
200707	0	77749
200707	1	137
200707	2	784
200707	3	20100
200707	4	2614
200707	5	181
200707	9	4
200707	10	894
200707	11	43
200707	12	1
200707	13	4
200707	14	9333
200707	15	2
200707	100	77
200707	101	4
200708	0	91357
200708	1	5358
200708	2	9680
200708	3	21641
200708	4	281
200708	5	8
200708	10	55
200708	14	2466
200708	100	25
200709	0	66805
200709	1	49
200709	2	651
200709	3	5602
200709	4	240
200709	5	4
200709	10	60
200709	12	4
200709	14	3378
200709	100	32
200710	0	129025
200710	1	705
200710	2	572
200710	3	3506
200710	4	1303
200710	5	173
200710	9	5
200710	10	23
200710	11	30
200710	14	3135
200710	15	15
200710	100	10
200710	101	4
200711	0	48879
200711	1	419
200711	2	318
200711	3	67
200711	4	257
200711	10	35
200711	12	7
200711	14	7669
200711	100	13
200712	0	72783
200712	1	23
200712	2	258
200712	3	4201
200712	4	541
200712	5	36
200712	9	1
200712	10	25
200712	11	4
200712	14	3031
200712	15	2
200712	100	10
200712	101	2
200801	0	53073
200801	1	12408
200801	2	771
200801	3	6345
200801	4	648
200801	5	29
200801	10	36
200801	11	5
200801	12	2
200801	14	2383
200801	15	3
200801	100	21
200801	101	1
200802	0	87838
200802	1	2828
200802	2	714
200802	3	5886
200802	4	1512
200802	5	4
200802	10	616
200802	12	2
200802	14	4495
200802	100	6
200803	0	67783
200803	1	23048
200803	2	353
200803	3	3366
200803	4	531
200803	10	53
200803	12	56
200803	14	6026
200803	100	70
200804	0	57160
200804	1	35418
200804	2	1279
200804	3	2147
200804	4	649
200804	5	4
200804	10	219
200804	11	5
200804	12	9
200804	14	14401
200804	100	12
200805	0	97828
200805	1	131
200805	2	16267
200805	3	13297
200805	4	1540
200805	5	108
200805	9	1
200805	10	82
200805	11	21
200805	12	30
200805	13	2
200805	14	6253
200805	15	6
200805	100	30
200805	101	1
200806	0	113803
200806	1	40567
200806	2	441
200806	3	4795
200806	4	607
200806	5	3
200806	10	384
200806	12	55
200806	14	8329
200806	100	13
200807	0	68097
200807	1	26121
200807	2	386
200807	3	1842
200807	4	602
200807	5	16
200807	10	51
200807	11	18
200807	12	19
200807	13	6
200807	14	15769
200807	15	16
200807	100	14
200807	101	4
200808	0	82284
200808	1	1381
200808	2	441
200808	3	1948
200808	4	1396
200808	5	33
200808	10	120
200808	11	8
200808	12	4
200808	14	5174
200808	15	3
200808	100	52
200809	0	126850
200809	1	354
200809	2	738
200809	3	4446
200809	4	1504
200809	5	201
200809	10	1968
200809	11	2
200809	12	42
200809	13	4
200809	14	5467
200809	100	8
200810	0	73974
200810	1	212
200810	2	344
200810	3	12839
200810	4	472
200810	5	14
200810	10	73
200810	12	12
200810	13	4
200810	14	8704
200810	100	37
200810	101	1
200811	0	82224
200811	1	743
200811	2	176
200811	3	11089
200811	4	266
200811	5	20
200811	10	52
200811	11	1
200811	12	18
200811	13	2
200811	14	10627
200811	15	1
200811	100	54
200811	101	4
200812	0	66590
200812	1	2290
200812	2	272
200812	3	5546
200812	4	2023
200812	5	17
200812	10	59
200812	11	6
200812	12	5
200812	13	3
200812	14	8877
200812	15	1
200812	100	46
200901	0	72785
200901	1	3739
200901	2	146
200901	3	5230
200901	4	142
200901	5	2
200901	10	315
200901	12	6
200901	13	2
200901	14	8421
200901	100	33
200902	0	83672
200902	1	144
200902	2	64
200902	3	11890
200902	4	4037
200902	5	54
200902	9	2
200902	10	118
200902	11	5
200902	12	10
200902	13	5
200902	14	14738
200902	100	19
200902	101	1
200903	0	62802
200903	1	874
200903	2	508
200903	3	17256
200903	4	2620
200903	5	157
200903	10	282
200903	11	18
200903	12	15
200903	13	6
200903	14	8711
200903	15	4
200903	100	35
200903	101	7
200904	0	67174
200904	1	87
200904	2	161
200904	3	5643
200904	4	279
200904	5	10
200904	10	189
200904	12	16
200904	13	2
200904	14	8730
200904	100	19
200905	0	69997
200905	1	116
200905	2	81
200905	3	7812
200905	4	202
200905	5	8
200905	10	428
200905	12	27
200905	13	1
200905	14	9395
200905	100	51
200905	101	1
200906	0	70778
200906	1	105
200906	2	106
200906	3	6772
200906	4	242
200906	5	7
200906	10	2514
200906	12	12
200906	13	1
200906	14	9225
200906	15	3
200906	100	15
200907	0	64363
200907	1	64
200907	2	71
200907	3	4891
200907	4	337
200907	5	3
200907	10	572
200907	12	6
200907	14	9262
200907	100	27
200908	0	85058
200908	1	84
200908	2	115
200908	3	6718
200908	4	247
200908	5	8
200908	10	709
200908	12	7
200908	13	2
200908	14	8042
200908	100	46
200908	101	1
200909	0	73625
200909	1	98
200909	2	99
200909	3	14208
200909	4	151
200909	5	17
200909	10	407
200909	12	8
200909	13	2
200909	14	8862
200909	100	25
200909	101	1
200910	0	114882
200910	1	308
200910	2	67
200910	3	6544
200910	4	167
200910	5	6
200910	10	241
200910	12	12
200910	14	9479
200910	100	51
200911	0	82880
200911	1	1547
200911	2	192
200911	3	9193
200911	4	364
200911	5	61
200911	10	511
200911	11	9
200911	12	7
200911	13	3
200911	14	10228
200911	15	1
200911	100	21
200911	101	1
200912	0	90151
200912	1	283
200912	2	116
200912	3	6348
200912	4	342
200912	5	134
200912	10	862
200912	12	45
200912	13	2
200912	14	12060
200912	15	2
200912	100	170
200912	101	2
201001	0	88502
201001	1	16564
201001	2	110
201001	3	4948
201001	4	265
201001	5	7
201001	10	399
201001	12	6
201001	13	2
201001	14	9787
201001	100	16
201002	0	80078
201002	1	43091
201002	2	113
201002	3	6170
201002	4	165
201002	5	9
201002	9	2
201002	10	2887
201002	12	14
201002	14	15686
201002	100	41
201003	0	90142
201003	1	1502
201003	2	78
201003	3	6727
201003	4	237
201003	5	9
201003	10	646
201003	12	17
201003	13	4
201003	14	16585
201003	15	3
201003	100	55
201004	0	113814
201004	1	4031
201004	2	361
201004	3	8164
201004	4	158
201004	5	23
201004	10	208
201004	12	11
201004	13	1
201004	14	11934
201004	100	54
201005	0	183290
201005	1	619
201005	2	431
201005	3	14320
201005	4	2249
201005	5	126
201005	9	3
201005	10	393
201005	11	21
201005	12	13
201005	13	1
201005	14	12254
201005	15	1
201005	100	24
201005	101	8
201006	0	100334
201006	1	92
201006	2	171
201006	3	5463
201006	4	526
201006	5	16
201006	10	467
201006	11	3
201006	12	4
201006	14	9448
201006	100	29
201006	101	5
201007	0	81718
201007	1	218
201007	2	155
201007	3	2972
201007	4	1618
201007	5	3
201007	10	392
201007	12	4
201007	13	1
201007	14	9971
201007	100	34
201007	101	1
201008	0	117071
201008	1	1639
201008	2	115
201008	3	4941
201008	4	874
201008	5	7
201008	10	2380
201008	12	2
201008	13	1
201008	14	11545
201008	100	90
201009	0	72486
201009	1	7646
201009	2	112
201009	3	4517
201009	4	562
201009	5	4
201009	6	2
201009	10	714
201009	12	4
201009	13	1
201009	14	11562
201009	100	103
201010	0	67650
201010	1	5035
201010	2	200
201010	3	5159
201010	4	256
201010	5	6
201010	6	16
201010	10	804
201010	12	5
201010	13	1
201010	14	12275
201010	100	19
201011	0	94293
201011	1	9744
201011	2	277
201011	3	5846
201011	4	211
201011	5	5
201011	6	64
201011	10	1993
201011	12	11
201011	13	1
201011	14	14236
201011	100	16
201011	101	1
201012	0	111286
201012	1	11901
201012	2	709
201012	3	5177
201012	4	2173
201012	5	414
201012	6	46
201012	7	1
201012	9	4
201012	10	504
201012	11	43
201012	12	28
201012	13	6
201012	14	11084
201012	15	10
201012	100	204
201012	101	6
201101	0	106861
201101	1	34235
201101	2	187
201101	3	3942
201101	4	618
201101	5	28
201101	6	1
201101	9	1
201101	10	471
201101	12	50
201101	14	19964
201101	15	1
201101	100	26
201102	0	69709
201102	1	46201
201102	2	553
201102	3	10246
201102	4	1934
201102	5	180
201102	9	5
201102	10	849
201102	11	11
201102	12	6
201102	13	8
201102	14	12597
201102	15	5
201102	100	40
201102	101	2
201103	0	85872
201103	1	52564
201103	2	109
201103	3	5628
201103	4	338
201103	5	6
201103	10	278
201103	12	7
201103	13	2
201103	14	11131
201103	15	112
201103	100	38
201103	101	1
201104	0	126854
201104	1	3064
201104	2	137
201104	3	4309
201104	4	504
201104	5	24
201104	6	2
201104	10	2930
201104	12	34
201104	13	1
201104	14	10161
201104	100	18
201104	101	2
201105	0	117737
201105	1	22964
201105	2	97
201105	3	23163
201105	4	409
201105	5	36
201105	10	270
201105	12	5
201105	14	10001
201105	100	42
201105	101	1
201106	0	97391
201106	1	61
201106	2	200
201106	3	5369
201106	4	493
201106	5	16
201106	10	224
201106	12	6
201106	13	2
201106	14	12391
201106	100	25
201106	101	1
201107	0	115875
201107	1	31
201107	2	111
201107	3	31840
201107	4	590
201107	5	14
201107	6	25
201107	10	191
201107	12	6
201107	13	3
201107	14	9749
201107	100	22
201107	101	1
201108	0	78422
201108	1	2626
201108	2	99
201108	3	7994
201108	4	628
201108	5	18
201108	10	1097
201108	12	16
201108	13	1
201108	14	17481
201108	100	28
201109	0	67102
201109	1	16749
201109	2	103
201109	3	20457
201109	4	955
201109	5	21
201109	10	1259
201109	12	26
201109	13	4
201109	14	12868
201109	100	20
201110	0	73719
201110	1	63
201110	2	59
201110	3	5538
201110	4	602
201110	5	19
201110	10	939
201110	12	3
201110	13	1
201110	14	14761
201110	100	21
201111	0	77522
201111	1	6883
201111	2	89
201111	3	6386
201111	4	641
201111	5	15
201111	10	1004
201111	12	9
201111	14	12259
201111	100	26
201112	0	82848
201112	1	7402
201112	2	92
201112	3	4526
201112	4	682
201112	5	19
201112	6	33
201112	10	1299
201112	12	5
201112	14	16538
201112	100	29
201201	0	119487
201201	1	2692
201201	2	108
201201	3	4807
201201	4	653
201201	5	14
201201	6	4
201201	10	1156
201201	11	1
201201	12	13
201201	13	2
201201	14	12647
201201	100	17
201202	0	131564
201202	1	37398
201202	2	169
201202	3	109668
201202	4	883
201202	5	17
201202	6	3
201202	10	1979
201202	11	4
201202	12	20
201202	14	10113
201202	15	2
201202	100	21
201203	0	81144
201203	1	39662
201203	2	213
201203	3	6641
201203	4	815
201203	5	38
201203	6	3
201203	9	1
201203	10	3231
201203	12	18
201203	13	2
201203	14	13609
201203	100	26
201204	0	86867
201204	1	12507
201204	2	142
201204	3	6805
201204	4	1071
201204	5	27
201204	10	4073
201204	11	2
201204	12	17
201204	13	1
201204	14	13924
201204	100	16
201205	0	86200
201205	1	156
201205	2	348
201205	3	222401
201205	4	1150
201205	5	46
201205	6	6
201205	10	7438
201205	11	10
201205	12	12
201205	13	2
201205	14	21207
201205	15	1
201205	100	39
201205	101	2
201206	0	82326
201206	1	105
201206	2	327
201206	3	170850
201206	4	1070
201206	5	29
201206	10	8717
201206	11	1
201206	12	12
201206	13	4
201206	14	15332
201206	100	63
201206	101	1
201207	0	121967
201207	1	90
201207	2	329
201207	3	206258
201207	4	1805
201207	5	23
201207	10	5454
201207	11	2
201207	12	8
201207	13	1
201207	14	17050
201207	100	40
201208	0	134351
201208	1	72
201208	2	301
201208	3	6583
201208	4	1373
201208	5	16
201208	10	4990
201208	11	2
201208	12	10
201208	13	2
201208	14	15694
201208	100	73
201209	0	95924
201209	1	108
201209	2	333
201209	3	7297
201209	4	947
201209	5	23
201209	9	1
201209	10	2316
201209	11	5
201209	12	19
201209	13	3
201209	14	12283
201209	100	28
201209	104	1
201210	0	128359
201210	1	31445
201210	2	282
201210	3	5468
201210	4	1069
201210	5	11
201210	8	4
201210	10	3444
201210	11	2
201210	12	9
201210	13	2
201210	14	17062
201210	100	40
201211	0	85731
201211	1	98
201211	2	244
201211	3	5428
201211	4	875
201211	5	14
201211	10	1657
201211	11	2
201211	12	9
201211	14	11961
201211	100	41
201211	101	1
201212	0	117627
201212	1	583
201212	2	389
201212	3	4207
201212	4	663
201212	5	13
201212	9	5
201212	10	1229
201212	11	2
201212	12	1
201212	14	14785
201212	100	9
201301	0	113709
201301	1	372
201301	2	140
201301	3	3661
201301	4	711
201301	5	20
201301	10	2191
201301	11	6
201301	12	14
201301	13	2
201301	14	24024
201301	100	37
201301	104	1
201302	0	112741
201302	1	81
201302	2	228
201302	3	4573
201302	4	1041
201302	5	20
201302	10	1948
201302	11	3
201302	12	13
201302	13	2
201302	14	13196
201302	100	29
201302	101	1
201303	0	573049
201303	1	548
201303	2	2876
201303	3	5276
201303	4	1842
201303	5	44
201303	6	1
201303	9	2
201303	10	4665
201303	11	7
201303	12	23
201303	13	1
201303	14	78939
201303	100	117
201303	101	1
201304	0	75328
201304	1	35
201304	2	6427
201304	3	7417
201304	4	1073
201304	5	15
201304	6	22
201304	10	3954
201304	11	1
201304	12	31
201304	13	1
201304	14	13390
201304	100	132
201304	104	4
201305	0	25742
201305	1	61
201305	2	93
201305	3	8510
201305	4	812
201305	5	13
201305	10	972
201305	12	10
201305	14	674
201305	15	1
201305	100	19
201306	0	9809
201306	1	33
201306	2	62
201306	3	7804
201306	4	994
201306	5	24
201306	6	1
201306	10	931
201306	11	1
201306	12	14
201306	14	246
201306	100	76
201306	101	1
201307	0	7974
201307	1	680
201307	2	113
201307	3	5498
201307	4	3512
201307	5	17
201307	10	189
201307	11	1
201307	12	9
201307	14	161
201307	15	5
201307	100	19
201308	0	7537
201308	1	26
201308	2	90
201308	3	4890
201308	4	701
201308	5	15
201308	10	3538
201308	12	19
201308	13	1
201308	14	727
201308	100	186
201308	101	2
201309	0	7044
201309	1	19
201309	2	89
201309	3	3355
201309	4	543
201309	5	28
201309	10	96
201309	12	10
201309	14	182
201309	100	12
201310	0	3723
201310	1	11
201310	2	78
201310	3	3390
201310	4	525
201310	5	18
201310	10	26
201310	12	1
201310	14	3
201310	100	14
201311	0	24174
201311	1	75238
201311	2	97
201311	3	2871
201311	4	377
201311	5	14
201311	10	142
201311	12	2
201311	14	22
201311	100	17
201312	0	86158
201312	1	2522
201312	2	89
201312	3	2123
201312	4	429
201312	5	4
201312	6	1
201312	9	1
201312	10	258
201312	12	4
201312	14	7
201312	100	10
201401	0	10305
201401	1	31
201401	2	100
201401	3	2807
201401	4	230
201401	5	6
201401	10	402
201401	14	74
201401	100	11
201402	0	8590
201402	1	45
201402	2	93
201402	3	3463
201402	4	383
201402	5	21
201402	6	1
201402	10	227
201402	12	1
201402	14	175
201402	100	12
201403	0	8642
201403	1	36
201403	2	99
201403	3	4368
201403	4	349
201403	5	13
201403	10	54
201403	12	1
201403	14	54
201403	15	1
201403	100	3
201404	0	16946
201404	1	37
201404	2	101
201404	3	3416
201404	4	365
201404	5	23
201404	9	4
201404	10	41
201404	12	1
201404	13	1
201404	14	26
201404	100	18
201405	0	23716
201405	1	25
201405	2	95
201405	3	3808
201405	4	200
201405	5	22
201405	6	1
201405	10	50
201405	11	1
201405	12	2
201405	14	768
201405	100	8
201406	0	56101
201406	1	95
201406	2	213
