month	page_namespace	reverts	bot_reverts	bot_reverteds	bot2bot_reverts
20011201	0	2	0	0	0
20020101	0	4	0	0	0
20020201	0	4	0	0	0
20020301	0	1	0	0	0
20020401	0	1	0	0	0
20020501	0	2	0	0	0
20020601	0	2	0	0	0
20020701	0	1	0	0	0
20020801	0	14	0	0	0
20020801	3	1	0	0	0
20020901	0	16	0	0	0
20020901	1	2	0	0	0
20020901	2	1	0	0	0
20020901	4	7	0	0	0
20020901	12	2	0	0	0
20021001	0	22	0	0	0
20021001	1	1	0	0	0
20021001	4	4	0	0	0
20021101	0	34	0	0	0
20021101	2	6	0	0	0
20021101	3	1	0	0	0
20021201	0	81	0	0	0
20021201	2	2	0	0	0
20021201	3	1	0	0	0
20021201	4	1	0	0	0
20030101	0	82	0	0	0
20030101	1	1	0	0	0
20030101	2	6	0	0	0
20030101	3	1	0	0	0
20030101	4	5	0	0	0
20030101	12	1	0	0	0
20030201	0	54	0	0	0
20030201	1	1	0	0	0
20030201	4	2	0	0	0
20030301	0	53	0	0	0
20030301	2	5	0	0	0
20030301	3	2	0	0	0
20030301	4	3	0	0	0
20030301	5	1	0	0	0
20030401	0	71	0	0	0
20030401	1	4	0	0	0
20030401	2	3	0	0	0
20030401	3	2	0	0	0
20030401	4	5	0	0	0
20030401	5	1	0	0	0
20030401	12	1	0	0	0
20030501	0	193	0	0	0
20030501	1	2	0	0	0
20030501	2	1	0	0	0
20030501	3	7	0	0	0
20030501	4	18	0	1	0
20030501	5	1	0	0	0
20030501	12	2	0	0	0
20030601	0	198	0	0	0
20030601	1	4	0	0	0
20030601	2	16	0	0	0
20030601	3	5	0	0	0
20030601	4	11	0	0	0
20030601	5	1	0	0	0
20030601	12	3	0	0	0
20030701	0	231	0	0	0
20030701	1	3	0	0	0
20030701	2	23	0	0	0
20030701	3	9	0	0	0
20030701	4	18	0	0	0
20030701	5	3	0	0	0
20030701	12	2	0	0	0
20030801	0	215	0	0	0
20030801	1	12	0	0	0
20030801	2	12	0	0	0
20030801	3	8	0	0	0
20030801	4	28	0	0	0
20030801	5	7	0	0	0
20030801	100	3	0	0	0
20030901	0	294	0	0	0
20030901	1	17	0	0	0
20030901	2	4	0	0	0
20030901	3	4	0	0	0
20030901	4	22	0	0	0
20030901	5	1	0	0	0
20030901	12	9	0	0	0
20030901	100	1	0	0	0
20031001	0	365	0	0	0
20031001	1	10	0	0	0
20031001	2	6	0	0	0
20031001	3	48	0	0	0
20031001	4	10	0	0	0
20031001	5	1	0	0	0
20031001	12	1	0	0	0
20031101	0	483	0	0	0
20031101	1	4	0	0	0
20031101	2	22	0	0	0
20031101	3	7	0	0	0
20031101	4	15	0	0	0
20031101	100	2	0	0	0
20031201	0	560	1	3	0
20031201	1	4	0	0	0
20031201	2	18	0	0	0
20031201	3	9	0	0	0
20031201	4	19	0	0	0
20031201	5	2	0	0	0
20031201	12	5	0	0	0
20031201	100	6	0	0	0
20040101	0	604	1	8	0
20040101	1	6	0	0	0
20040101	2	35	0	0	0
20040101	3	7	0	0	0
20040101	4	13	0	0	0
20040101	5	1	0	0	0
20040101	10	1	0	0	0
20040101	12	3	0	0	0
20040101	100	5	0	0	0
20040201	0	1409	10	14	0
20040201	1	29	0	0	0
20040201	2	29	0	0	0
20040201	3	28	0	0	0
20040201	4	41	0	0	0
20040201	5	4	0	0	0
20040201	10	1	0	0	0
20040201	12	11	0	0	0
20040201	13	1	0	0	0
20040201	100	1	0	0	0
20040301	0	3422	58	112	0
20040301	1	45	0	2	0
20040301	2	147	1	3	0
20040301	3	77	0	1	0
20040301	4	108	0	0	0
20040301	5	22	0	0	0
20040301	8	1	0	0	0
20040301	12	13	0	0	0
20040301	100	10	0	2	0
20040401	0	2252	32	35	0
20040401	1	113	0	1	0
20040401	2	92	0	0	0
20040401	3	56	0	0	0
20040401	4	107	0	1	0
20040401	5	20	0	0	0
20040401	10	1	0	0	0
20040401	12	10	0	0	0
20040401	100	17	0	1	0
20040401	101	7	0	0	0
20040501	0	1985	1	60	0
20040501	1	52	0	3	0
20040501	2	118	0	2	0
20040501	3	98	0	0	0
20040501	4	118	0	0	0
20040501	5	15	0	0	0
20040501	8	15	15	0	0
20040501	10	16	0	0	0
20040501	12	5	0	0	0
20040501	100	9	0	0	0
20040601	0	2794	12	49	0
20040601	1	25	0	1	0
20040601	2	116	1	3	0
20040601	3	127	1	1	0
20040601	4	203	0	2	0
20040601	5	39	0	1	0
20040601	10	12	0	0	0
20040601	12	16	0	0	0
20040601	13	1	0	0	0
20040601	14	75	0	0	0
20040601	100	10	0	1	0
20040601	101	1	0	0	0
20040701	0	3917	15	35	0
20040701	1	61	1	0	0
20040701	2	104	0	1	0
20040701	3	234	0	2	0
20040701	4	333	0	0	0
20040701	5	13	0	0	0
20040701	6	1	0	0	0
20040701	8	2	0	0	0
20040701	10	341	6	282	0
20040701	12	15	0	0	0
20040701	14	92	0	0	0
20040701	100	11	0	2	0
20040701	101	1	0	0	0
20040801	0	5048	306	39	0
20040801	1	61	0	0	0
20040801	2	191	0	2	0
20040801	3	380	0	0	0
20040801	4	670	0	0	0
20040801	5	191	0	0	0
20040801	8	1	0	0	0
20040801	10	73	2	34	0
20040801	11	1	0	0	0
20040801	12	10	0	0	0
20040801	14	134	0	1	0
20040801	15	1	0	0	0
20040801	100	14	1	0	0
20040801	101	2	0	0	0
20040901	0	5556	2	19	0
20040901	1	111	0	0	0
20040901	2	145	0	1	0
20040901	3	153	0	0	0
20040901	4	205	1	0	0
20040901	5	22	0	0	0
20040901	6	1	0	0	0
20040901	8	1	0	0	0
20040901	10	60	0	2	0
20040901	12	33	0	0	0
20040901	13	3	0	0	0
20040901	14	69	1	0	0
20040901	100	14	0	0	0
20040901	101	3	0	0	0
20041001	0	6209	6	15	0
20041001	1	107	0	0	0
20041001	2	132	0	0	0
20041001	3	187	1	0	0
20041001	4	282	0	1	0
20041001	5	28	0	0	0
20041001	6	1	0	0	0
20041001	8	1	0	0	0
20041001	10	93	0	1	0
20041001	11	1	0	0	0
20041001	12	26	1	0	0
20041001	14	47	0	1	0
20041001	100	15	0	0	0
20041001	101	1	0	0	0
20041101	0	8456	20	26	0
20041101	1	184	1	0	0
20041101	2	215	1	3	0
20041101	3	213	1	0	0
20041101	4	229	0	0	0
20041101	5	30	0	0	0
20041101	6	4	0	0	0
20041101	8	2	0	0	0
20041101	9	2	1	1	0
20041101	10	53	0	0	0
20041101	12	31	1	0	0
20041101	13	3	0	0	0
20041101	14	57	0	0	0
20041101	100	44	0	0	0
20041101	101	2	0	0	0
20041201	0	10188	81	1077	6
20041201	1	242	0	7	0
20041201	2	197	0	4	0
20041201	3	239	1	0	0
20041201	4	434	0	2	0
20041201	5	52	0	0	0
20041201	6	4	0	0	0
20041201	8	2	0	0	0
20041201	10	54	0	0	0
20041201	12	34	0	0	0
20041201	13	1	0	0	0
20041201	14	165	0	0	0
20041201	100	27	1	4	0
20041201	101	1	0	0	0
20050101	0	9689	22	126	0
20050101	1	182	0	4	0
20050101	2	181	1	7	0
20050101	3	211	0	0	0
20050101	4	357	1	1	0
20050101	5	56	0	0	0
20050101	6	7	0	0	0
20050101	8	6	0	0	0
20050101	10	44	0	0	0
20050101	12	37	0	0	0
20050101	14	64	0	2	0
20050101	15	1	0	0	0
20050101	100	21	0	0	0
20050101	101	3	0	0	0
20050201	0	9391	34	196	3
20050201	1	205	0	10	0
20050201	2	154	1	1	0
20050201	3	239	0	3	0
20050201	4	490	1	1	0
20050201	5	94	0	0	0
20050201	6	6	0	0	0
20050201	8	1	0	0	0
20050201	10	35	0	0	0
20050201	11	1	0	0	0
20050201	12	33	0	0	0
20050201	14	49	0	0	0
20050201	100	26	0	0	0
20050201	101	1	0	0	0
20050301	0	10488	530	52	6
20050301	1	281	1	0	0
20050301	2	199	5	2	0
20050301	3	517	2	1	0
20050301	4	720	3	0	0
20050301	5	136	1	0	0
20050301	6	4	1	0	0
20050301	7	1	0	0	0
20050301	8	2	0	0	0
20050301	10	37	1	0	0
20050301	11	1	0	0	0
20050301	12	29	0	0	0
20050301	13	4	0	0	0
