month	page_namespace	reverts	bot_reverts	bot_reverteds	bot2bot_reverts
20010701	0	1	0	0	0
20010801	0	1	0	0	0
20011001	0	8	0	0	0
20011001	1	1	0	0	0
20011001	2	6	0	0	0
20011001	4	1	0	0	0
20011001	5	1	0	0	0
20011101	0	70	0	0	0
20011101	1	1	0	0	0
20011101	2	11	0	0	0
20011101	4	16	0	0	0
20011101	5	3	0	0	0
20011101	100	3	0	0	0
20011201	0	248	3	1	0
20011201	1	5	0	0	0
20011201	2	12	0	0	0
20011201	3	3	0	0	0
20011201	4	14	0	0	0
20011201	12	1	0	0	0
20011201	100	3	1	0	0
20020101	0	124	0	0	0
20020101	1	7	0	0	0
20020101	2	1	0	0	0
20020101	3	2	0	0	0
20020101	4	9	0	0	0
20020101	12	2	0	0	0
20020101	100	1	0	0	0
20020201	0	69	3	2	0
20020201	1	1	0	0	0
20020201	2	8	0	0	0
20020201	4	4	0	0	0
20020201	12	1	0	0	0
20020301	0	129	0	1	0
20020301	1	1	0	0	0
20020301	2	4	0	0	0
20020301	3	1	0	0	0
20020301	4	7	1	0	0
20020301	12	1	0	0	0
20020401	0	102	1	2	0
20020401	2	11	0	0	0
20020401	3	3	0	0	0
20020401	4	13	0	0	0
20020401	5	1	0	0	0
20020401	12	3	0	0	0
20020501	0	98	6	2	0
20020501	1	4	0	0	0
20020501	2	1	1	0	0
20020501	4	5	0	0	0
20020501	100	1	0	0	0
20020601	0	134	2	6	0
20020601	1	4	0	0	0
20020601	2	2	0	0	0
20020601	4	8	0	0	0
20020701	0	144	9	3	0
20020701	1	3	0	0	0
20020701	2	19	1	0	0
20020701	3	1	0	0	0
20020701	4	7	0	1	0
20020701	12	1	0	0	0
20020701	100	1	0	0	0
20020801	0	331	6	6	0
20020801	1	8	0	0	0
20020801	2	12	0	1	0
20020801	3	1	0	0	0
20020801	4	21	0	0	0
20020801	12	1	0	0	0
20020801	100	1	0	0	0
20020901	0	590	12	7	0
20020901	1	13	0	0	0
20020901	2	19	0	0	0
20020901	3	8	0	0	0
20020901	4	51	2	3	0
20020901	5	1	0	0	0
20020901	100	1	0	0	0
20021001	0	756	32	7	0
20021001	1	20	1	1	0
20021001	2	19	0	0	0
20021001	3	24	0	0	0
20021001	4	46	4	3	0
20021001	5	1	0	0	0
20021001	12	2	0	0	0
20021001	100	6	0	0	0
20021101	0	833	3	2	0
20021101	1	29	0	0	0
20021101	2	63	0	0	0
20021101	3	29	0	0	0
20021101	4	41	0	0	0
20021101	5	2	0	0	0
20021101	12	3	0	0	0
20021101	13	1	0	0	0
20021101	100	6	0	0	0
20021201	0	1068	0	1	0
20021201	1	34	0	0	0
20021201	2	48	0	0	0
20021201	3	14	0	0	0
20021201	4	68	0	0	0
20021201	5	1	0	0	0
20021201	12	2	0	0	0
20021201	100	5	0	0	0
20030101	0	936	0	0	0
20030101	1	11	0	0	0
20030101	2	47	0	0	0
20030101	3	27	0	0	0
20030101	4	40	0	0	0
20030101	5	4	0	0	0
20030101	12	11	0	0	0
20030101	100	4	0	0	0
20030201	0	1345	0	3	0
20030201	1	18	0	0	0
20030201	2	113	0	0	0
20030201	3	35	0	0	0
20030201	4	26	0	0	0
20030201	5	4	0	0	0
20030201	12	9	0	0	0
20030201	100	8	0	0	0
20030301	0	1391	0	0	0
20030301	1	59	0	0	0
20030301	2	44	0	0	0
20030301	3	53	0	0	0
20030301	4	68	0	0	0
20030301	5	4	0	0	0
20030301	12	1	0	0	0
20030301	100	13	0	0	0
20030401	0	1967	0	0	0
20030401	1	94	0	0	0
20030401	2	45	0	0	0
20030401	3	65	0	0	0
20030401	4	64	0	0	0
20030401	5	1	0	0	0
20030401	12	3	0	0	0
20030401	100	10	0	0	0
20030501	0	2674	2	8	0
20030501	1	58	0	0	0
20030501	2	144	0	0	0
20030501	3	145	0	5	0
20030501	4	120	0	0	0
20030501	5	1	0	0	0
20030501	12	1	0	0	0
20030501	100	18	0	0	0
20030601	0	2807	0	10	0
20030601	1	61	0	0	0
20030601	2	123	0	0	0
20030601	3	168	1	0	0
20030601	4	88	0	0	0
20030601	5	9	0	0	0
20030601	6	1	0	0	0
20030601	12	12	0	0	0
20030601	100	7	0	0	0
20030701	0	1893	3	7	0
20030701	1	57	0	0	0
20030701	2	57	0	0	0
20030701	3	66	1	3	0
20030701	4	65	0	0	0
20030701	5	2	0	0	0
20030701	8	1	0	0	0
20030701	10	2	0	0	0
20030701	12	3	0	0	0
20030701	100	2	0	0	0
20030801	0	2375	1	0	0
20030801	1	42	0	0	0
20030801	2	127	0	0	0
20030801	3	109	0	0	0
20030801	4	148	0	2	0
20030801	5	13	0	0	0
20030801	8	10	0	0	0
20030801	10	1	0	0	0
20030801	12	5	0	0	0
20030801	100	14	0	0	0
20030901	0	2286	1	0	0
20030901	1	42	0	0	0
20030901	2	84	0	1	0
20030901	3	161	0	0	0
20030901	4	295	0	0	0
20030901	5	3	0	0	0
20030901	8	1	0	0	0
20030901	12	5	0	0	0
20030901	100	10	0	0	0
20031001	0	2999	2	4	0
20031001	1	73	0	0	0
20031001	2	71	0	1	0
20031001	3	53	0	0	0
20031001	4	156	0	2	0
20031001	5	8	0	0	0
20031001	8	5	0	0	0
20031001	12	8	0	0	0
20031001	13	1	0	0	0
20031001	100	4	0	0	0
20031101	0	3812	1	1	0
20031101	1	92	0	0	0
20031101	2	106	0	0	0
20031101	3	84	1	0	0
20031101	4	150	0	1	0
20031101	5	7	0	0	0
20031101	8	8	0	0	0
20031101	12	11	0	0	0
20031101	100	11	0	0	0
20031201	0	3964	3	40	0
20031201	1	120	0	0	0
20031201	2	157	0	0	0
20031201	3	117	2	1	0
20031201	4	200	0	0	0
20031201	5	10	0	0	0
20031201	8	4	0	0	0
20031201	12	30	0	0	0
20031201	100	19	0	0	0
20040101	0	4335	18	2	0
20040101	1	63	0	0	0
20040101	2	114	0	0	0
20040101	3	60	0	0	0
20040101	4	192	0	0	0
20040101	5	6	0	1	0
20040101	8	1	0	0	0
20040101	12	16	0	0	0
20040101	100	20	0	0	0
20040201	0	6331	12	4	0
20040201	1	156	0	1	0
20040201	2	143	0	1	0
20040201	3	155	0	0	0
20040201	4	495	0	0	0
20040201	5	30	0	0	0
20040201	8	1	0	0	0
20040201	10	23	0	0	0
20040201	12	15	0	0	0
20040201	13	1	0	0	0
20040201	100	20	0	0	0
20040301	0	9046	7	14	0
20040301	1	140	0	2	0
20040301	2	213	0	3	0
20040301	3	261	0	0	0
20040301	4	706	0	3	0
20040301	5	30	0	0	0
20040301	6	1	0	0	0
20040301	8	3	0	0	0
20040301	10	50	0	0	0
20040301	11	1	0	0	0
20040301	12	23	0	0	0
20040301	13	1	0	0	0
20040301	100	56	0	1	0
20040301	101	4	0	0	0
20040401	0	8514	6	4	0
20040401	1	201	0	1	0
20040401	2	206	0	0	0
20040401	3	251	0	0	0
20040401	4	455	0	0	0
20040401	5	33	0	0	0
20040401	8	16	0	0	0
20040401	10	78	0	0	0
20040401	11	2	0	0	0
20040401	12	16	0	0	0
20040401	100	52	0	0	0
20040501	0	8918	9	6	0
20040501	1	178	0	0	0
20040501	2	203	1	0	0
20040501	3	255	0	0	0
20040501	4	390	0	0	0
20040501	5	16	0	0	0
20040501	6	2	0	0	0
20040501	8	26	0	0	0
20040501	10	124	0	0	0
20040501	11	1	0	0	0
20040501	12	23	0	0	0
20040501	14	6	0	0	0
20040501	100	53	0	0	0
20040501	101	1	0	0	0
20040601	0	7176	27	18	0
20040601	1	121	0	0	0
20040601	2	206	2	1	0
20040601	3	585	0	1	0
20040601	4	838	1	1	0
20040601	5	91	0	0	0
20040601	6	2	0	0	0
20040601	8	29	0	1	0
20040601	9	6	0	0	0
20040601	10	85	0	1	0
20040601	12	40	0	0	0
20040601	13	13	0	0	0
20040601	14	64	0	0	0
20040601	100	47	0	0	0
20040601	101	2	0	0	0
20040601	118	1	0	0	0
20040701	0	9841	43	162	0
20040701	1	266	21	53	0
20040701	2	338	4	12	0
20040701	3	418	1	5	0
20040701	4	492	1	4	0
20040701	5	32	2	3	0
20040701	6	4	0	0	0
20040701	8	6	0	0	0
20040701	10	148	0	0	0
20040701	11	1	0	0	0
20040701	12	42	0	0	0
20040701	13	1	0	0	0
20040701	14	37	0	0	0
20040701	100	59	0	0	0
20040801	0	12213	61	340	0
20040801	1	272	0	1	0
20040801	2	202	2	1	0
20040801	3	292	0	0	0
20040801	4	474	0	2	0
20040801	5	53	0	0	0
20040801	6	2	0	0	0
20040801	8	13	0	0	0
20040801	9	1	0	0	0
20040801	10	238	0	0	0
20040801	11	1	0	0	0
20040801	12	45	0	0	0
20040801	13	1	0	0	0
20040801	14	109	1	1	0
20040801	100	44	0	0	0
20040901	0	17096	35	686	0
20040901	1	503	0	67	0
20040901	2	550	2	4	0
20040901	3	945	0	0	0
20040901	4	775	1	9	0
20040901	5	65	0	0	0
20040901	6	5	0	0	0
20040901	8	9	0	0	0
20040901	10	208	0	0	0
20040901	12	64	1	3	0
20040901	13	2	0	2	0
20040901	14	145	2	9	0
20040901	15	2	0	0	0
20040901	100	67	0	0	0
20041001	0	21477	123	138	1
20041001	1	402	0	0	0
20041001	2	305	0	0	0
20041001	3	439	1	0	0
20041001	4	706	0	2	0
20041001	5	29	0	0	0
20041001	6	13	0	0	0
20041001	8	13	0	0	0
20041001	10	138	0	0	0
20041001	12	85	0	0	0
20041001	13	6	0	0	0
20041001	14	88	0	0	0
20041001	100	85	0	0	0
20041001	101	4	0	0	0
20041001	118	1	0	0	0
20041101	0	29215	115	214	1
20041101	1	585	0	0	0
20041101	2	405	0	1	0
20041101	3	493	1	0	0
20041101	4	993	0	0	0
20041101	5	59	0	0	0
20041101	6	19	0	0	0
20041101	8	14	0	0	0
20041101	10	343	0	0	0
20041101	11	2	0	0	0
20041101	12	94	0	0	0
20041101	13	3	0	0	0
20041101	14	136	1	12	0
20041101	15	2	0	0	0
20041101	100	152	0	0	0
20041201	0	26706	284	148	0
20041201	1	538	0	0	0
20041201	2	449	4	13	0
20041201	3	526	0	21	0
20041201	4	1111	0	3	0
20041201	5	55	0	0	0
20041201	6	7	0	0	0
20041201	7	1	0	0	0
20041201	8	24	0	2	0
20041201	10	261	0	1	0
20041201	11	13	0	2	0
20041201	12	104	0	0	0
20041201	13	3	0	0	0
20041201	14	152	1	9	0
20041201	100	164	0	0	0
20041201	101	1	0	0	0
20050101	0	29067	94	777	4
20050101	1	604	0	1	0
20050101	2	415	2	3	0
20050101	3	479	1	2	0
20050101	4	1073	0	1	0
20050101	5	57	0	14	0
20050101	6	8	0	0	0
20050101	7	7	0	0	0
20050101	8	9	0	0	0
20050101	9	1	0	1	0
20050101	10	379	0	0	0
20050101	11	3	0	0	0
20050101	12	73	0	0	0
20050101	13	1	0	0	0
20050101	14	212	2	9	0
20050101	15	3	0	0	0
20050101	100	115	0	4	0
20050101	101	1	0	0	0
