month	page_namespace	reverts	bot_reverts	bot_reverteds	bot2bot_reverts
20031201	0	1	0	0	0
20040101	0	1	0	0	0
20040201	0	18	0	9	0
20040201	2	1	0	0	0
20040201	4	2	0	1	0
20040301	0	56	2	7	0
20040301	4	13	0	0	0
20040301	12	2	0	0	0
20040401	0	55	0	0	0
20040401	3	6	0	0	0
20040401	4	30	0	0	0
20040501	0	80	0	0	0
20040501	2	1	0	0	0
20040501	4	4	0	0	0
20040501	12	2	0	0	0
20040601	0	113	0	0	0
20040601	1	5	0	0	0
20040601	2	1	0	0	0
20040601	3	3	0	0	0
20040601	4	4	0	0	0
20040601	5	2	0	0	0
20040601	12	7	0	0	0
20040601	100	1	0	0	0
20040701	0	118	0	0	0
20040701	1	1	0	0	0
20040701	4	15	0	0	0
20040701	10	1	0	0	0
20040701	12	5	0	0	0
20040701	100	1	0	0	0
20040801	0	238	0	0	0
20040801	1	4	0	0	0
20040801	2	5	0	0	0
20040801	3	3	0	0	0
20040801	4	6	0	0	0
20040801	5	3	0	0	0
20040801	8	1	0	0	0
20040801	10	1	0	0	0
20040801	11	1	0	0	0
20040801	12	9	0	0	0
20040901	0	289	29	2	0
20040901	1	5	0	0	0
20040901	2	2	0	0	0
20040901	3	2	0	0	0
20040901	4	11	0	0	0
20040901	5	4	0	0	0
20040901	12	8	0	0	0
20040901	14	3	0	0	0
20040901	100	1	0	0	0
20041001	0	303	1	6	0
20041001	1	9	0	0	0
20041001	2	6	0	1	0
20041001	3	4	0	0	0
20041001	4	39	0	2	0
20041001	5	4	0	0	0
20041001	10	1	0	0	0
20041001	12	11	0	0	0
20041001	14	3	0	1	0
20041101	0	509	2	6	0
20041101	1	9	0	0	0
20041101	2	5	0	1	0
20041101	3	12	0	0	0
20041101	4	38	0	0	0
20041101	5	2	0	0	0
20041101	12	13	0	0	0
20041101	14	4	0	0	0
20041101	100	1	0	0	0
20041201	0	345	2	11	1
20041201	1	4	0	0	0
20041201	2	6	0	0	0
20041201	3	11	0	0	0
20041201	4	30	0	1	0
20041201	5	2	0	0	0
20041201	12	5	0	1	0
20041201	14	8	0	0	0
20041201	15	1	0	0	0
20041201	100	3	0	0	0
20050101	0	554	1	2	0
20050101	1	3	0	0	0
20050101	2	16	0	0	0
20050101	3	14	0	0	0
20050101	4	48	3	9	0
20050101	5	5	0	0	0
20050101	8	1	0	0	0
20050101	10	10	0	0	0
20050101	12	13	0	0	0
20050101	13	1	0	0	0
20050101	14	8	3	4	3
20050201	0	636	14	34	2
20050201	1	5	0	0	0
20050201	2	26	0	0	0
20050201	3	34	0	0	0
20050201	4	40	0	1	0
20050201	5	5	0	0	0
20050201	10	9	0	0	0
20050201	12	7	0	0	0
20050201	14	6	1	1	1
20050301	0	892	0	24	0
20050301	1	13	0	0	0
20050301	2	11	0	0	0
20050301	3	16	0	0	0
20050301	4	60	1	0	0
20050301	5	8	0	0	0
20050301	8	1	0	0	0
20050301	10	23	0	0	0
20050301	12	13	1	0	0
20050301	14	20	0	13	0
20050301	15	1	0	0	0
20050301	100	1	0	0	0
20050401	0	1385	6	14	1
20050401	1	26	0	0	0
20050401	2	13	0	0	0
20050401	3	26	0	0	0
20050401	4	51	0	2	0
20050401	5	14	0	0	0
20050401	8	1	0	0	0
20050401	10	12	0	0	0
20050401	12	16	0	0	0
20050401	13	2	0	0	0
20050401	14	17	0	0	0
20050401	15	1	0	0	0
20050401	100	3	0	0	0
20050501	0	1324	12	17	9
20050501	1	31	0	0	0
20050501	2	13	0	0	0
