month	page_namespace	reverts	bot_reverts	bot_reverteds	bot2bot_reverts
20030101	0	1	0	0	0
20030301	0	6	0	0	0
20030301	4	3	0	0	0
20030401	0	5	0	0	0
20030401	4	2	0	0	0
20030501	0	3	0	0	0
20030501	4	2	0	0	0
20030601	0	17	0	0	0
20030601	1	1	0	0	0
20030601	4	7	0	0	0
20030601	5	3	0	0	0
20030601	12	1	0	0	0
20030701	0	17	0	0	0
20030701	4	7	0	0	0
20030701	12	2	0	0	0
20030801	0	21	0	0	0
20030801	1	1	0	0	0
20030801	2	3	0	0	0
20030801	3	1	0	0	0
20030801	4	2	0	0	0
20030801	12	2	0	0	0
20030901	0	52	0	0	0
20030901	1	1	0	0	0
20030901	2	2	0	0	0
20030901	4	3	0	0	0
20030901	5	1	0	0	0
20030901	12	3	0	0	0
20031001	0	46	0	0	0
20031001	2	1	0	0	0
20031001	4	2	0	0	0
20031001	12	1	0	0	0
20031101	0	71	0	0	0
20031101	1	2	0	0	0
20031101	2	4	0	0	0
20031101	3	1	0	0	0
20031101	4	7	0	0	0
20031101	5	1	0	0	0
20031101	12	1	0	0	0
20031201	0	85	6	14	0
20031201	1	1	0	0	0
20031201	2	2	0	0	0
20031201	3	1	0	0	0
20031201	4	13	0	1	0
20031201	5	3	0	0	0
20031201	8	1	0	0	0
20031201	12	2	0	0	0
20040101	0	74	0	2	0
20040101	2	1	0	0	0
20040101	4	6	0	0	0
20040101	12	2	0	0	0
20040201	0	260	2	5	0
20040201	1	1	0	0	0
20040201	2	4	0	0	0
20040201	3	1	0	0	0
20040201	4	10	0	0	0
20040201	5	2	0	0	0
20040201	10	2	0	0	0
20040201	12	5	0	0	0
20040301	0	481	5	3	0
20040301	1	7	0	0	0
20040301	2	6	0	0	0
20040301	3	4	0	0	0
20040301	4	27	0	0	0
20040301	5	3	0	0	0
20040301	10	5	0	0	0
20040301	12	18	0	0	0
20040301	13	1	0	0	0
20040401	0	1549	483	4	0
20040401	1	4	0	0	0
20040401	2	53	0	0	0
20040401	3	6	0	0	0
20040401	4	23	0	0	0
20040401	5	3	0	0	0
20040401	10	4	0	0	0
20040401	12	10	0	0	0
20040501	0	551	0	1	0
20040501	1	5	0	0	0
20040501	2	11	0	0	0
20040501	3	12	0	0	0
20040501	4	25	0	0	0
20040501	5	2	0	0	0
20040501	8	1	0	0	0
20040501	12	11	0	0	0
20040501	101	1	0	0	0
20040601	0	243	0	2	0
20040601	1	1	0	0	0
20040601	2	2	0	0	0
20040601	3	4	0	0	0
20040601	4	5	0	0	0
20040601	5	5	0	0	0
20040601	10	1	0	0	0
20040601	12	6	0	0	0
20040601	14	1	0	0	0
20040701	0	437	1	4	0
20040701	1	8	0	0	0
20040701	2	9	0	0	0
20040701	3	10	0	0	0
20040701	4	23	0	0	0
20040701	5	1	0	0	0
20040701	10	1	0	0	0
20040701	12	12	0	0	0
20040801	0	372	1	7	0
20040801	1	2	0	0	0
