month	page_namespace	n
200305	0	1
200306	0	7
200307	0	1
200312	0	937
200312	2	2
200312	4	17
200312	8	163
200312	12	3
200401	0	765
200401	8	17
200402	0	771
200402	4	1
200402	8	8
200403	0	2188
200404	0	567
200404	2	2
200404	3	3
200404	4	1
200405	0	114
200405	2	2
200405	8	133
200406	0	2155
200406	2	9
200406	3	6
200406	4	29
200406	5	3
200406	8	49
200407	0	1432
200408	0	983
200408	12	1
200409	0	3493
200409	2	1
200410	0	5980
200410	2	1
200410	3	2
200410	4	2
200410	14	119
200411	0	3829
200411	4	12
200411	5	2
200411	12	5
200411	14	105
200412	0	5198
200412	1	2
200412	3	200
200412	4	16
200412	5	1
200412	6	1
200412	8	956
200412	11	2
200412	12	1
200412	14	263
200501	0	2159
200501	14	346
200502	0	5228
200503	0	1631
200504	0	1097
200504	14	9
200505	0	2668
200505	2	5
200505	4	8
200505	5	2
200505	12	2
200505	14	28
200506	0	18309
200506	1	12
200506	2	6
200506	4	10
200506	8	1162
200506	10	1
200506	14	904
200507	0	6967
200507	2	4
200507	3	1
200507	4	5
200507	8	427
200507	10	1
200507	14	1114
200508	0	6259
200508	2	7
200508	3	1
200508	4	4
200508	8	36
200508	10	1
200508	12	1
200508	14	471
200509	0	5541
200509	1	4
200509	2	4
200509	4	13
200509	8	59
200509	14	85
200510	0	3003
200510	2	2
200510	4	5
200510	14	161
200511	0	7195
200511	2	6
200511	3	1
200511	4	4
200511	8	71
200511	10	2
200511	14	304
200511	100	1
200512	0	4674
200512	2	7
200512	4	14
200512	5	1
200512	8	70
200512	10	1
200512	14	3045
200512	100	4
200601	0	11782
200601	2	11
200601	4	18
200601	8	6
200601	10	1
200601	14	1583
200601	100	22
200602	0	5068
200602	2	2
200602	4	4
200602	8	48
200602	10	1
200602	14	338
200602	100	3
200603	0	16220
200603	2	19
200603	4	2
200603	8	26
200603	10	1
200603	12	1
200603	14	446
200604	0	12141
200604	2	3
200604	4	9
200604	10	2
200604	14	1160
200605	0	12582
200605	1	27
200605	2	6
200605	3	2
200605	4	36
200605	5	4
200605	10	1
200605	11	1
200605	12	13
200605	14	4733
200605	100	4
200606	0	14628
200606	1	14
200606	2	12
200606	3	6
200606	4	149
200606	5	4
200606	10	3
200606	14	6266
200606	100	3
200606	101	2
200607	0	18145
200607	1	1
200607	2	12
200607	3	142
200607	4	159
200607	8	75
200607	10	1
200607	12	1
200607	14	634
200607	100	5
200608	0	19603
200608	1	24
200608	2	32
200608	3	6
200608	4	164
200608	5	3
200608	8	4
200608	10	5
200608	11	1
200608	14	3015
200608	100	2
200609	0	6063
200609	1	4
200609	2	21
200609	3	1
200609	4	169
200609	5	2
200609	10	1
200609	14	8517
200609	100	3
200610	0	14548
200610	1	1
200610	2	28
200610	3	4
200610	4	134
200610	5	3
200610	8	3
200610	10	5
200610	14	9032
200610	100	6
200611	0	17618
200611	2	21
200611	3	4
200611	4	153
200611	10	1
200611	12	1
200611	14	5430
200611	101	1
200612	0	18686
200612	2	12
200612	3	1
200612	4	89
200612	5	1
200612	10	1
200612	14	6336
200612	100	14
200701	0	25940
200701	2	17
200701	3	2
200701	4	23
200701	5	1
200701	10	3
200701	14	4089
200701	100	1
200702	0	14532
200702	2	18
200702	3	1
200702	4	20
200702	10	4
200702	12	4
200702	14	6010
200702	100	1
200703	0	22030
200703	2	32
200703	3	2
200703	4	15
200703	10	8
200703	12	1
200703	14	7366
200703	100	17
200704	0	15023
200704	2	28
200704	3	4
200704	4	8
200704	10	41
200704	14	8469
200704	100	7
200705	0	27581
200705	1	3
200705	2	88
200705	3	22
200705	4	23
200705	5	1
200705	10	57
200705	11	1
200705	12	3
200705	14	10835
200705	100	6
200706	0	19635
200706	2	41
200706	3	2
200706	4	42
200706	10	30
200706	12	2
200706	14	2257
200706	100	4
200707	0	18600
200707	1	4
200707	2	31
200707	3	2
200707	4	21
200707	10	20
200707	12	2
200707	14	3972
200707	100	1
200708	0	23017
200708	1	8
200708	2	53
200708	3	1
200708	4	21
200708	10	21
200708	11	1
200708	14	3398
200708	100	22
200709	0	26914
200709	1	4
200709	2	37
200709	3	4
200709	4	31
200709	8	2
200709	10	109
200709	11	3
200709	12	1
200709	14	5163
200709	100	23
200710	0	36322
200710	1	8
200710	2	151
200710	3	779
200710	4	177
200710	5	1
200710	8	25
200710	10	17
200710	12	1
200710	14	3077
200710	100	10
200711	0	30232
200711	1	13
200711	2	406
200711	3	918
200711	4	148
200711	10	23
200711	11	3
200711	12	7
200711	14	7755
200711	100	11
200712	0	39798
200712	1	216
200712	2	265
200712	3	6280
200712	4	381
200712	5	23
200712	6	15
200712	9	2
200712	10	603
200712	11	11
200712	12	11
200712	13	5
200712	14	4211
200712	100	44
200712	101	3
200801	0	27693
200801	1	14
200801	2	200
200801	3	423
200801	4	290
200801	6	2
200801	10	17
200801	11	1
200801	12	16
200801	14	5058
200801	100	41
200802	0	32980
200802	1	36
200802	2	138
200802	3	246
200802	4	113
200802	5	12
200802	6	5
200802	10	66
200802	11	3
200802	14	3654
200802	15	2
200802	100	17
200802	101	1
200803	0	33383
200803	1	185
200803	2	1058
200803	3	1240
200803	4	847
200803	5	43
200803	6	5
200803	7	2
200803	9	1
200803	10	711
200803	11	16
200803	12	41
200803	14	10303
200803	15	1
200803	100	70
200803	101	1
200804	0	36219
200804	1	52
200804	2	1029
200804	3	1252
200804	4	519
200804	5	16
200804	10	81
200804	12	6
200804	14	6796
200804	100	8
200805	0	36595
200805	1	62
200805	2	795
200805	3	1625
200805	4	1678
200805	5	4
200805	6	3
200805	10	197
200805	12	12
200805	13	1
200805	14	7760
200805	100	10
200805	101	1
200806	0	103164
200806	1	3772
200806	2	790
200806	3	46693
200806	4	1352
200806	5	180
200806	6	1
200806	7	1
200806	9	7
200806	10	39
200806	11	23
200806	12	20
200806	13	5
200806	14	10532
200806	15	16
200806	100	16
200806	101	7
200807	0	28206
200807	1	64
200807	2	686
200807	3	1116
200807	4	616
200807	5	18
200807	6	7
200807	10	19
200807	12	10
200807	14	5016
200807	100	2
200808	0	79467
200808	1	24
200808	2	435
200808	3	971
200808	4	2586
200808	5	2
200808	6	1
200808	10	9
200808	12	6
200808	14	18196
200808	15	1
200808	100	44
200809	0	35487
200809	1	10698
200809	2	246
200809	3	724
200809	4	1330
200809	5	28
200809	6	2
200809	10	69
200809	12	1
200809	14	7432
200809	15	3
200809	100	4
200810	0	35484
200810	1	14
200810	2	160
200810	3	760
200810	4	435
200810	5	12
200810	6	1
200810	10	1
200810	12	4
200810	14	15298
200810	100	4
200811	0	33818
200811	1	4
200811	2	92
200811	3	134
200811	4	442
200811	5	4
200811	6	1
200811	10	1455
200811	12	2
200811	14	10698
200811	100	69
200812	0	91441
200812	1	10
200812	2	159
200812	3	471
200812	4	395
200812	5	1
200812	6	40
200812	10	6299
200812	11	1
200812	12	4
200812	14	6237
200812	15	2
200812	100	29
200901	0	39921
200901	1	602
200901	2	259
200901	3	1374
200901	4	1725
200901	5	71
200901	7	2
200901	8	1
200901	9	7
200901	10	82
200901	11	19
200901	12	7
200901	13	4
200901	14	10593
200901	15	2
200901	100	492
200901	101	3
200902	0	63548
200902	1	19
200902	2	370
200902	3	390
200902	4	436
200902	5	6
200902	10	83
200902	11	1
200902	14	9617
200902	100	9
200903	0	31309
200903	1	60
200903	2	528
200903	3	834
200903	4	554
200903	5	2
200903	6	1
200903	10	33
200903	12	8
200903	14	11212
200903	100	17
200904	0	39413
200904	1	101
200904	2	718
200904	3	885
200904	4	683
200904	5	12
200904	6	1
200904	7	1
200904	10	179
200904	12	23
200904	14	7758
200904	100	14
200905	0	38392
200905	1	544
200905	2	361
200905	3	535
200905	4	650
200905	5	28
200905	7	1
200905	10	224
200905	11	9
200905	12	4
200905	14	10063
200905	15	1
200905	100	18
200906	0	35392
200906	1	135
200906	2	406
200906	3	816
200906	4	368
